,minimum,maximum
2AGPGAT161,0.0,-5.401031788253617e-13
2AGPGAT180,0.0,1.9075325542310217e-13
2AGPGAT181,0.0,-4.907473990853162e-13
2DGLCNRx,0.0,0.0
2DGLCNRy,0.0,0.0
2DGULRx,0.0,0.0
12DGR120tipp,0.0,6.499787110047493e-13
2DGULRy,0.0,0.0
12DGR140tipp,0.0,2.588201647053842e-13
2MAHMP,0.0,8.107329854020765e-11
12DGR141tipp,0.0,-9.27652555391983e-12
34dhpactex,0.0,0.0
12DGR160tipp,0.0,1.3038392768059328e-11
12DGR161tipp,0.0,2.057208893758768e-11
12DGR180tipp,0.0,9.048558582566366e-13
12DGR181tipp,0.0,2.3196806908180497e-12
3AMPtex,0.0,0.0
12PPDRtex,-1.2397350232499165e-13,0.0
3CMPtex,-8.437564234476313e-14,0.0
12PPDRtpp,-1.9505552681873666e-13,0.0
3GMPtex,2.4242904599832385e-17,0.0
12PPDStex,0.0,0.0
12PPDStpp,0.0,0.0
ADSL1r,0.21969158697888364,0.21969158697958494
3HAD100,0.26214766208567675,0.26214766208838325
14GLUCANabcpp,0.0,0.0
ADSL2r,0.3290879928955882,0.32908799289585033
14GLUCANtexi,-1.009948665229296e-14,0.0
3HAD120,0.15133310686066787,0.15133310686176918
ADSS,0.21969158697895913,0.21969158697219388
AGDC,0.0,4.902227087203731e-13
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
23DAPPAtex,0.0,0.0
23PDE2pp,0.0,0.0
23PDE4pp,0.0,0.0
23PDE7pp,0.0,0.0
AGM3PA,0.0,2.9660258795092733e-13
AGM3PApp,0.0,3.0208544796343967e-12
AGM3PH,0.0,3.815186738202808e-13
AGM3Pt2pp,0.0,-1.3140084431231929e-12
3HAD140,0.09401777381810687,0.0940177738180132
23PDE9pp,0.0,0.0
26DAHtex,0.0,0.0
3HAD141,0.11081455522405449,0.11081455522365445
3HAD121,0.11081455522405437,0.1108145552245949
3HAD160,0.09401777381732584,0.0940177738172777
3HAD161,0.11081455522405437,0.110814555238407
2AGPA120tipp,0.0,8.25158396842518e-13
2AGPA140tipp,0.0,1.2453562402691634e-13
2AGPA141tipp,0.0,1.1521200143902383e-12
2AGPA160tipp,0.0,9.918072564807204e-14
2AGPA161tipp,0.0,4.938711691698066e-13
3HAD180,-3.753575853502542e-16,-1.7905058180201089e-12
3HAD181,0.0,6.116428778023808e-13
3HAD40,0.2621476620856763,0.26214766208577833
2AGPA180tipp,0.0,2.588049190851014e-13
ACALDtex,-1.1874727970607344e-13,0.0
2AGPA181tipp,0.0,6.467385550110766e-13
2AGPE120tipp,0.0,1.457449866206251e-12
2AGPE140tipp,0.0,3.4694950604399076e-12
2AGPE141tipp,0.0,6.708749662900195e-12
2AGPE160tipp,0.0,3.0440121787642705e-12
3HAD60,0.2621476620856763,0.26214766208578166
3HAD80,0.26214766208567664,0.2621476620852389
3HCINNMH,0.0,0.0
3HPPPNH,0.0,0.0
3KGK,0.0,0.0
