,minimum,maximum
2AGPGAT161,0.0,-4.081596483198804e-13
2AGPGAT180,0.0,-2.4562464550677776e-13
2AGPGAT181,0.0,-2.813386147348059e-13
2DGLCNRx,0.0,0.0
2DGLCNRy,0.0,0.0
2DGULRx,0.0,0.0
12DGR120tipp,0.0,4.5675548123167113e-14
2DGULRy,0.0,0.0
12DGR140tipp,0.0,4.295394394223851e-13
2MAHMP,0.0,3.4985112713124545e-13
12DGR141tipp,0.0,-4.66451221380376e-13
34dhpactex,0.0,0.0
12DGR160tipp,0.0,-6.695777546320957e-13
12DGR161tipp,0.0,-8.615084005609357e-13
12DGR180tipp,0.0,-1.3313779004718336e-13
12DGR181tipp,0.0,6.253729234381532e-13
3AMPtex,0.0,0.0
12PPDRtex,-2.6760331931665948e-14,0.0
3CMPtex,0.0,0.0
12PPDRtpp,1.957027439422209e-13,0.0
3GMPtex,8.433353546353998e-14,0.0
12PPDStex,0.0,0.0
12PPDStpp,0.0,0.0
ADSL1r,0.03019348950485092,0.030193489503748592
3HAD100,0.03602847424762239,0.03602847424614245
14GLUCANabcpp,0.0,0.0
ADSL2r,0.04522847231568715,0.04522847231375777
14GLUCANtexi,-4.350743742478645e-15,0.0
3HAD120,0.020798586949429376,0.02079858694909637
ADSS,0.030193489504725574,0.03019348950455063
AGDC,4.202173848917349e-14,-1.4462439924975242e-13
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
23DAPPAtex,0.0,0.0
23PDE2pp,0.0,0.0
23PDE4pp,1.7373889040496645e-14,0.0
23PDE7pp,-1.1973906659081018e-12,0.0
AGM3PA,0.0,-5.6824901069492984e-14
AGM3PApp,0.0,-4.4289612086584155e-14
AGM3PH,0.0,-1.3916529693190536e-13
AGM3Pt2pp,0.0,-5.737893952108718e-14
3HAD140,0.012921408170620607,0.012921408170419016
23PDE9pp,0.0,0.0
26DAHtex,0.0,0.0
3HAD141,0.015229887298607445,0.015229887298498808
3HAD121,0.01522988729855727,0.015229887299159816
3HAD160,0.012921408171613703,0.012921408170461536
3HAD161,0.015229887298518797,0.015229887299125493
2AGPA120tipp,0.0,-2.5852969274277143e-13
2AGPA140tipp,0.0,-1.5222655611699185e-13
2AGPA141tipp,0.0,-3.1280806661153673e-13
2AGPA160tipp,0.0,1.0881830457111478e-13
2AGPA161tipp,0.0,-1.240502615829696e-13
3HAD180,0.0,-5.323311667340379e-14
3HAD181,0.0,-8.334688616953942e-14
3HAD40,0.03602847424777216,0.036028474254082385
2AGPA180tipp,0.0,-2.5441379759772235e-13
ACALDtex,1.660780143873597e-13,0.0
2AGPA181tipp,0.0,-7.940582535737103e-14
2AGPE120tipp,0.0,-1.2317675101083968e-13
2AGPE140tipp,0.0,2.3323408475422332e-14
2AGPE141tipp,0.0,-2.350562260414185e-13
2AGPE160tipp,0.0,-9.329363390169048e-14
3HAD60,0.036028474247640545,0.036028474250533474
3HAD80,0.036028474247646505,0.03602847424616854
3HCINNMH,4.13229752398571e-14,0.0
3HPPPNH,0.0,0.0
3KGK,0.0,0.0
3NTD2pp,1.43782409121497e-14,0.0
3NTD4pp,-3.852301629551255e-14,0.0
3NTD7pp,5.708715169233998e-14,0.0
3NTD9pp,0.0,0.0
3OAR100,0.036028474247541284,0.03602847424694709
3OAR120,0.020798586949053684,0.020798586948574654
2AGPE161tipp,0.0,-1.2171903798110868e-13
2AGPE180tipp,0.0,6.603440024454146e-13
2AGPE181tipp,0.0,3.1306726820423915e-13
2AGPEAT120,0.0,-1.4394916168423445e-13
3OAR121,0.015229887298531891,0.015229887298648352
3OAR140,0.020798586949046502,0.02079858694813233
2AGPEAT140,-2.742838179471779e-14,3.10531490618687e-13
ACALDtpp,1.7505323447233713e-13,0.0
2AGPEAT141,0.0,-1.4978001380308616e-13
2AGPEAT160,0.0,2.026221111302245e-13
3OAR141,0.015229887298588918,0.015229887297901453
3OAR160,0.012921408170586596,0.012921408170954666
2AGPEAT161,0.0,-1.373894530505263e-13
ACANTHAT,0.0,0.0
2AGPEAT180,-1.346767899611674e-12,-4.888456304172015e-13
2AGPEAT181,0.0,-3.9868451362674894e-13
3OAR161,0.015229887298544086,0.015229887297784094
3OAR180,-5.571871229828562e-17,4.852171195975706e-15
3OAR181,0.0,-4.165250079138896e-15
3OAR40,0.036028474247649926,0.03602847424739002
2AGPG120tipp,0.0,-4.974445713898642e-13
2AGPG140tipp,0.0,-1.1333718806025711e-13
2AGPG141tipp,0.0,-5.71423507647831e-13
2AGPG160tipp,0.0,-1.2378323004132966e-13
2AGPG161tipp,0.0,-6.315862199697507e-13
2AGPG180tipp,0.0,-3.232478643420014e-13
3OAR60,0.036028474247567756,0.03602847424694135
3OAR80,0.03602847424756978,0.036028474246028695
3OAS100,0.036028474247569775,0.03602847424705858
3OAS120,0.020798586949051765,0.02079858694886523
3OAS121,0.015229887298499532,0.015229887298339096
3OAS140,0.02079858694882752,0.020798586949496992
3OAS141,0.015229887298580127,0.015229887298345667
2AGPG181tipp,0.0,9.839562950580033e-14
2AGPGAT120,1.501364381861275e-12,4.781298737461567e-13
2AGPGAT140,0.0,-2.904493211704807e-13
2AGPGAT141,0.0,6.119765481598963e-13
ACBIPGT,0.0,0.0
2AGPGAT160,0.0,5.461691853585718e-13
3OAS160,0.012921408171004204,0.012921408170883825
3OAS161,0.015229887299094289,0.015229887297856464
ACCOAC,0.24432214095469246,0.24432214095836588
3OAS180,-2.3216130124285675e-17,3.092945719677835e-13
3OAS181,0.0,-5.072841343404122e-13
ACCOAL,0.0,0.0
AGM4PA,0.0,1.1972017888836734e-13
3OAS60,0.03602847424771423,0.036028474246618813
ACGAL1PPpp,0.0,0.0
3OAS80,0.0360284742471324,0.03602847424794654
AGM4PApp,0.0,-7.185014144132082e-14
AGM4PCP,0.0,2.0089948802021592e-13
ACGAL1Ptex,0.0,0.0
AGM4PCPpp,0.0,-1.9677117124002018e-13
AGM4PH,0.0,-7.5731722764681e-14
AGM4Pt2pp,1.4555643227494437e-12,-1.0886996022750405e-13
3PEPTabcpp,0.0,-1.203282627019329e-13
3PEPTtex,1.0170387304631225e-14,0.0
3UMPtex,0.0,0.0
42A12BOOXpp,0.0,0.0
4HOXPACDtex,0.0,0.0
AGMH,4.778081750579961e-33,-7.331526451653506e-14
AGMHE,0.0,-1.1414572765884275e-14
AGMT,0.0,-8.292900164628163e-14
AGMt2pp,0.0,-1.2164152904102235e-13
AGMtex,7.169679982489961e-14,0.0
AGPAT120,-4.907989321292613e-18,-1.4414886925640341e-13
4HTHRS,0.0,0.0
4PCP,0.0,-1.219245980721352e-12
AGPAT140,0.0,-1.630346026337058e-12
ACGALtex,0.0,0.0
4PCPpp,0.0,-1.445820331179726e-13
4PEPTabcpp,0.0,-2.4905413539535715e-14
4PEPTtex,4.002670459576313e-16,0.0
ACGAM1PPpp,0.0,0.0
5DGLCNR,6.697285730133324e-14,0.0
5DGLCNt2rpp,-2.254484625252834e-14,0.0
ACGAM1Ptex,6.611264781108414e-16,0.0
5DGLCNtex,6.603162507466706e-15,0.0
ACGAMK,-9.106686935847713e-15,-1.367474974181452e-13
5DOAN,0.0,-4.080677170480352e-14
A5PISO,0.003938589389135128,0.003938589389079407
AGPAT141,0.0,3.766730468811993e-13
ACGAMT,0.0,4.148852639809006e-15
AGPAT160,0.006460704086685618,0.006460704085566023
AACPS1,0.0,-3.104928753291787e-13
AACPS2,3.0775692238702387e-13,-1.1427732701795897e-13
AACPS3,0.0,-1.0054313341669066e-13
AGPAT161,0.007614943649289216,0.007614943648956496
ACGAptspp,0.0,0.0
AGPAT180,0.0,1.1576110194157506e-13
AACPS4,0.0,8.625816961431958e-13
AACPS5,0.0,-8.725698700216612e-13
AACPS6,0.0,-6.251016462714457e-13
AACPS7,0.0,-6.177828092504331e-13
AGPAT181,0.0,-5.904302190248677e-13
AGPR,-2.4020528591764516,-2.4020528591818926
AGt3,0.0,0.0
AHCYSNS,4.515709170997508e-05,4.5157091682916875e-05
AICART,0.054820810586239936,0.054820810586756155
AACPS8,0.0,-3.4329141849763383e-13
AACPS9,0.0,-1.0663934698378512e-12
ACGAtex,7.928007234819762e-15,0.0
AACTOOR,0.0,-2.024153887567516e-14
AADDGT,0.0,-5.382089571275177e-15
AAMYL,0.0,0.0
AIRC2,0.04522847231548836,0.045228472314981456
AIRC3,-0.045228472314123455,-0.04522847231560796
AKGDH,0.0,-3.87585301445634e-11
AKGt2rpp,1.816175941673179e-14,0.0
AAMYLpp,0.0,0.0
ACGK,2.4020528591709516,2.4020528591785766
AB6PGH,0.0,0.0
ABTA,0.0,-6.907370174296118e-13
AKGtex,3.399508813901101e-14,0.0
ALAALAD,0.0,-4.5152661095393997e-13
ABUTD,0.0,-8.42961413496359e-14
ACGS,2.4020528591286414,2.402052859178836
ABUTt2pp,0.0,0.0
ABUTtex,2.276924451433684e-14,0.0
ALAALAabcpp,4.749769153085858e-14,-7.753221887470826e-14
ALAALAr,0.002812699568908427,0.0028126995696047996
ACACCT,0.0,0.0
ALAALAtex,-6.053200101693291e-14,0.0
ACACT1r,-3.959724775486215e-14,0.0
ACHBS,0.02941285906288999,0.02941285906385338
ACACt2pp,0.0,0.0
ACACtex,0.0,0.0
ACALD,-1.6804741222493296e-12,-1.2607378719394474e-12
AMPtex,0.0,0.0
ALAGLUE,0.0,1.8270096597037827e-13
ALAR,0.004219049353353391,0.00421904935339572
ALATA_D2,0.0,-1.9271457779695777e-13
ALATA_L,-0.10186943769522287,-0.059020825111713957
ALATA_L2,0.0,-2.353733671243855e-14
ALATRS,0.0,0.0
ANHGMtex,-2.2943547335730254e-15,0.0
ACKr,0.0,2.430929300594503
ANHMK,0.0,-1.557703764298221e-13
ANPRT,0.005754997966045603,0.0057549979659578185
ANS,0.005754997966020421,0.005754997966168231
